N;T;Pc;Pm;Selection;Crossover;bestFitness;Time(ms);worstFitness
50;200;0.600;0.100;Roulette;OnePoint;13541294;18;7992787
50;200;0.600;0.100;Roulette;OnePoint;13211291;12;4908854
50;200;0.600;0.100;Roulette;OnePoint;13440689;14;7356465
50;200;0.600;0.100;Roulette;OnePoint;13448879;13;6949488
50;200;0.600;0.100;Roulette;OnePoint;13449491;13;5023430
50;200;0.600;0.100;Tournament;TwoPoint;13446026;14;8490105
50;200;0.600;0.100;Tournament;TwoPoint;13486901;12;4975155
50;200;0.600;0.100;Tournament;TwoPoint;13487325;11;7775128
50;200;0.600;0.100;Tournament;TwoPoint;13614543;9;10043781
50;200;0.600;0.100;Tournament;TwoPoint;13585527;11;9182346
50;200;0.600;0.100;Roulette;TwoPoint;13420287;11;6692313
50;200;0.600;0.100;Roulette;TwoPoint;13401311;12;7738010
50;200;0.600;0.100;Roulette;TwoPoint;13478412;11;4624717
50;200;0.600;0.100;Roulette;TwoPoint;13485977;12;6469507
50;200;0.600;0.100;Roulette;TwoPoint;13412019;12;5935669
50;200;0.700;0.001;Tournament;OnePoint;13349075;3;13349075
50;200;0.700;0.001;Tournament;OnePoint;13487027;7;11798336
50;200;0.700;0.001;Tournament;OnePoint;13654201;7;13607342
50;200;0.700;0.001;Tournament;OnePoint;13573857;7;11663356
50;200;0.700;0.001;Tournament;OnePoint;13654201;7;11967686
50;200;0.700;0.001;Roulette;OnePoint;13674267;9;11700529
50;200;0.700;0.001;Roulette;OnePoint;13104847;8;10937451
50;200;0.700;0.001;Roulette;OnePoint;13281601;8;12905183
50;200;0.700;0.001;Roulette;OnePoint;13614543;8;12936981
50;200;0.700;0.001;Roulette;OnePoint;13555009;8;11015795
50;200;0.700;0.001;Tournament;TwoPoint;13612011;7;12934449
50;200;0.700;0.001;Tournament;TwoPoint;13674267;5;13297849
50;200;0.700;0.001;Tournament;TwoPoint;13575832;7;13507158
50;200;0.700;0.001;Tournament;TwoPoint;13616719;7;13240301
50;200;0.700;0.001;Tournament;TwoPoint;13654201;7;12263559
50;200;0.700;0.001;Roulette;TwoPoint;13484335;8;10717363
50;200;0.700;0.001;Roulette;TwoPoint;13653419;8;11898230
50;200;0.700;0.001;Roulette;TwoPoint;13183191;8;13104847
50;200;0.700;0.001;Roulette;TwoPoint;13654201;8;11209579
50;200;0.700;0.001;Roulette;TwoPoint;13692887;8;10868777
50;200;0.700;0.010;Tournament;OnePoint;13683937;8;11615733
50;200;0.700;0.010;Tournament;OnePoint;13692887;6;10095871
50;200;0.700;0.010;Tournament;OnePoint;13656377;7;13077225
50;200;0.700;0.010;Tournament;OnePoint;13692887;8;11203234
50;200;0.700;0.010;Tournament;OnePoint;13656377;8;11802815
50;200;0.700;0.010;Roulette;OnePoint;13692887;10;8874844
50;200;0.700;0.010;Roulette;OnePoint;13595823;10;8854408
50;200;0.700;0.010;Roulette;OnePoint;13674267;10;8452414
50;200;0.700;0.010;Roulette;OnePoint;13683217;10;8417804
50;200;0.700;0.010;Roulette;OnePoint;13692887;10;9490800
50;200;0.700;0.010;Tournament;TwoPoint;13692887;4;10947121
50;200;0.700;0.010;Tournament;TwoPoint;13692887;7;12859755
50;200;0.700;0.010;Tournament;TwoPoint;13692887;8;11782386
50;200;0.700;0.010;Tournament;TwoPoint;13667228;7;11438979
50;200;0.700;0.010;Tournament;TwoPoint;13692887;7;10253740
50;200;0.700;0.010;Roulette;TwoPoint;13587675;10;8096263
50;200;0.700;0.010;Roulette;TwoPoint;13605593;10;8386505
50;200;0.700;0.010;Roulette;TwoPoint;13629963;10;9486983
50;200;0.700;0.010;Roulette;TwoPoint;13465715;10;8101436
50;200;0.700;0.010;Roulette;TwoPoint;13605593;10;9743262
50;200;0.700;0.020;Tournament;OnePoint;13692887;10;10477726
50;200;0.700;0.020;Tournament;OnePoint;13692887;9;10758904
50;200;0.700;0.020;Tournament;OnePoint;13656377;9;10962225
50;200;0.700;0.020;Tournament;OnePoint;13656377;9;11588173
50;200;0.700;0.020;Tournament;OnePoint;13692887;8;11592036
50;200;0.700;0.020;Roulette;OnePoint;13576056;6;8986182
50;200;0.700;0.020;Roulette;OnePoint;13507183;10;8294021
50;200;0.700;0.020;Roulette;OnePoint;13654201;10;8315123
50;200;0.700;0.020;Roulette;OnePoint;13683217;9;8561571
50;200;0.700;0.020;Roulette;OnePoint;13575857;10;8698946
50;200;0.700;0.020;Tournament;TwoPoint;13656377;8;10217230
50;200;0.700;0.020;Tournament;TwoPoint;13588269;9;10266079
50;200;0.700;0.020;Tournament;TwoPoint;13595823;9;12067177
50;200;0.700;0.020;Tournament;TwoPoint;13654201;8;10269737
50;200;0.700;0.020;Tournament;TwoPoint;13656377;8;11745876
50;200;0.700;0.020;Roulette;TwoPoint;13614543;14;8761919
50;200;0.700;0.020;Roulette;TwoPoint;13206066;12;3999180
50;200;0.700;0.020;Roulette;TwoPoint;13486335;10;5675050
50;200;0.700;0.020;Roulette;TwoPoint;13496799;12;8641436
50;200;0.700;0.020;Roulette;TwoPoint;13692887;11;6636337
50;200;0.700;0.050;Tournament;OnePoint;13692887;10;9707820
50;200;0.700;0.050;Tournament;OnePoint;13692887;7;10447889
50;200;0.700;0.050;Tournament;OnePoint;13692887;7;8870235
50;200;0.700;0.050;Tournament;OnePoint;13692887;9;10095871
50;200;0.700;0.050;Tournament;OnePoint;13692887;10;10908459
50;200;0.700;0.050;Roulette;OnePoint;13482227;10;2414861
50;200;0.700;0.050;Roulette;OnePoint;13324549;12;7680003
50;200;0.700;0.050;Roulette;OnePoint;13449467;11;6363946
50;200;0.700;0.050;Roulette;OnePoint;13528230;11;6826612
50;200;0.700;0.050;Roulette;OnePoint;13432133;12;7313419
50;200;0.700;0.050;Tournament;TwoPoint;13692887;11;9015215
50;200;0.700;0.050;Tournament;TwoPoint;13654201;10;8412555
50;200;0.700;0.050;Tournament;TwoPoint;13692887;10;10037518
50;200;0.700;0.050;Tournament;TwoPoint;13692887;10;11173498
50;200;0.700;0.050;Tournament;TwoPoint;13692887;9;8871380
50;200;0.700;0.050;Roulette;TwoPoint;13683217;10;7046744
50;200;0.700;0.050;Roulette;TwoPoint;13511095;10;8384338
50;200;0.700;0.050;Roulette;TwoPoint;13478909;10;5755536
50;200;0.700;0.050;Roulette;TwoPoint;13574060;11;7064041
50;200;0.700;0.050;Roulette;TwoPoint;13525701;10;4536503
50;200;0.700;0.100;Tournament;OnePoint;13578033;11;8839747
50;200;0.700;0.100;Tournament;OnePoint;13553795;12;8324229
50;200;0.700;0.100;Tournament;OnePoint;13692887;12;7521845
50;200;0.700;0.100;Tournament;OnePoint;13512819;11;9210232
50;200;0.700;0.100;Tournament;OnePoint;13567473;11;8801790
50;200;0.700;0.100;Roulette;OnePoint;13429038;16;5544001
50;200;0.700;0.100;Roulette;OnePoint;13542460;13;4152580
50;200;0.700;0.100;Roulette;OnePoint;13506401;13;2010674
50;200;0.700;0.100;Roulette;OnePoint;13488862;13;6001153
50;200;0.700;0.100;Roulette;OnePoint;13624111;12;7196424
50;200;0.700;0.100;Tournament;TwoPoint;13603593;13;6041664
50;200;0.700;0.100;Tournament;TwoPoint;13517419;8;9968025
50;200;0.700;0.100;Tournament;TwoPoint;13692887;12;8838711
50;200;0.700;0.100;Tournament;TwoPoint;13401783;11;7621818
50;200;0.700;0.100;Tournament;TwoPoint;13491925;11;9213798
50;200;0.700;0.100;Roulette;TwoPoint;13461915;15;7219744
50;200;0.700;0.100;Roulette;TwoPoint;13487948;13;6494937
50;200;0.700;0.100;Roulette;TwoPoint;13479087;13;7094683
50;200;0.700;0.100;Roulette;TwoPoint;13527095;12;6011574
50;200;0.700;0.100;Roulette;TwoPoint;13656377;13;7327028
50;200;0.800;0.001;Tournament;OnePoint;13654201;7;13654201
50;200;0.800;0.001;Tournament;OnePoint;13577251;4;13577251
50;200;0.800;0.001;Tournament;OnePoint;13578332;6;13578332
50;200;0.800;0.001;Tournament;OnePoint;13449866;7;11921220
50;200;0.800;0.001;Tournament;OnePoint;13538393;7;12705261
50;200;0.800;0.001;Roulette;OnePoint;13508577;9;12372301
50;200;0.800;0.001;Roulette;OnePoint;13399439;9;13321095
50;200;0.800;0.001;Roulette;OnePoint;13418353;7;11015795
50;200;0.800;0.001;Roulette;OnePoint;13036173;8;10356170
50;200;0.800;0.001;Roulette;OnePoint;13575857;8;11722295
50;200;0.800;0.001;Tournament;TwoPoint;13692887;8;11592036
50;200;0.800;0.001;Tournament;TwoPoint;13629963;6;12375977
50;200;0.800;0.001;Tournament;TwoPoint;13654201;5;13654201
50;200;0.800;0.001;Tournament;TwoPoint;13683217;7;11829655
50;200;0.800;0.001;Tournament;TwoPoint;13692887;7;10949254
50;200;0.800;0.001;Roulette;TwoPoint;13683217;9;11772716
50;200;0.800;0.001;Roulette;TwoPoint;13654201;9;11654545
